# cfgfile =demo_res/MYGI/MYGI.1801.meiyo_m5-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,GradT,GradVe,GradVn,GradRe,GradRn
0,S01,L01,M15,2.432783,-0.000108,23.573257,-0.000448,False,81479.402695,-46.262720,1617.040240,12.934090,176.310000,0.870000,-1.600000,81482.897035,-47.987720,1604.916520,13.158030,174.740000,-0.530000,1.700000,-0.183691,0.037371,-0.017044,-0.484571,-0.032215
1,S01,L01,M12,3.509047,0.000039,50.663267,-0.000550,False,81480.492720,-47.061430,1613.089340,12.739070,175.450000,0.140000,0.290000,81485.063325,-47.992600,1597.416940,13.147080,174.690000,-0.560000,-0.070000,-0.183639,0.037346,-0.017004,-0.483928,-0.032711
2,S01,L01,M12,3.481297,-0.000020,50.258147,-0.000552,False,81489.392705,-49.210480,1582.787630,13.415810,172.520000,0.730000,1.080000,81493.935560,-47.949570,1567.029900,13.191470,172.260000,0.210000,-3.400000,-0.183357,0.037210,-0.016783,-0.480421,-0.035415
3,S01,L01,M13,4.065518,0.000121,57.169747,-0.000686,False,81490.482725,-49.481000,1578.734530,13.116660,171.640000,-1.440000,1.090000,81495.609800,-48.787180,1561.594230,13.287830,171.390000,3.650000,0.060000,-0.183313,0.037189,-0.016749,-0.479876,-0.035835
4,S01,L01,M15,2.380303,-0.000169,20.389936,-0.000455,False,81510.482840,-45.784140,1511.387920,12.943430,167.870000,-1.090000,-0.190000,81513.924700,-44.838230,1499.555980,13.624670,167.110000,0.290000,-0.030000,-0.182697,0.036897,-0.016281,-0.472332,-0.041640
5,S01,L01,M12,3.356162,-0.000204,48.370623,-0.000568,False,81529.392870,-41.453880,1449.081100,13.349860,167.700000,1.000000,0.750000,81533.810590,-40.179970,1434.902000,13.335690,169.790000,0.760000,-1.160000,-0.182065,0.036603,-0.015816,-0.464717,-0.047489
6,S01,L01,M13,3.885938,-0.000116,55.330746,-0.000705,False,81539.392965,-38.639510,1416.655370,13.585450,169.420000,-0.770000,-1.980000,81544.340460,-38.116250,1399.879530,13.004880,168.200000,-2.170000,-0.660000,-0.181727,0.036448,-0.015574,-0.460696,-0.050571
7,S01,L01,M14,3.261561,-0.000154,47.079185,-0.000670,False,81540.483095,-38.724090,1413.451330,14.044830,169.600000,1.480000,-0.920000,81544.806215,-37.903430,1398.479930,13.138780,168.610000,-1.590000,-1.410000,-0.181702,0.036437,-0.015555,-0.460392,-0.050805
8,S01,L01,M14,3.237646,-0.000152,46.683073,-0.000672,False,81549.392950,-36.691020,1383.841630,12.664660,168.030000,-0.880000,0.510000,81553.692155,-36.107460,1370.034300,13.540100,167.840000,0.510000,1.580000,-0.181406,0.036303,-0.015348,-0.456913,-0.053469
9,S01,L01,M15,2.325278,-0.000112,16.249652,-0.000466,False,81550.483080,-36.158570,1380.464020,12.928880,168.380000,-1.770000,-0.520000,81553.869915,-36.105820,1369.447210,13.572420,167.810000,0.770000,1.700000,-0.181385,0.036294,-0.015333,-0.456665,-0.053659
